No.,Description,Quantity, Unit Price ,Item Category Code,Product Model
UFS150I,ULTRASUN UFS150I INDIRECT SOLAR HOT WATER SYSTEM,31,170000,SUNRAIN,SHW
DSKIT07,DAYLIFF SUNFLO-A 600H SOLAR PUMPING SYSTEM,11,167000,DAYLIFF,SOLAR PUMP
DSKIT-X0200H,DAYLIFF SUNFLO ECO PAYGO PUMPING SYSTEM ,5,165920,DAYLIFF,SOLAR PUMP
SUNFRIDGE233,DAYLIFF 233LITRES SUNFRIDGE,46,164000,DAYLIFF,SUNFRIDGE
SG1050,DAYLIFF 5000TL-X 5KW 1PH SUNGRID INVERTER,2,163000,ZMISC.,SUNGRID
SPS-3D,DAYLIFF 40W SOLAR STREET LIGHT C/W 6M POLE,0,162000,DAYLIFF,SOLAR FAB
DSD300/1,ULTRASUN UFS300D SOLAR HOT WATER TANK,14,160000,SUNRAIN,ACCESSORY
UFX300I,ULTRASUN UFX300I FLATPLATE SOLAR HOT WATER SYSTEM,0,160000,ERASLAN,SHW
SUN2000-005KTL-M1,HUAWEI SUN2000 5KTL-M1 5.5KW 3PH SOLAR INVERTER,8,157000,HUAWEI,INVERTER
UFX300D,ULTRASUN UFX300D FLATPLATE SOLAR HOT WATER SYSTEM,0,156000,ERASLAN,SHW
SEM 0-100K,SMART ENERGY METER 0-100kW,7,155000,DAYLIFF,GROWATT
DO4000,DAYLIFF OPTIVERTER DO4000 MULTIFUNCTION INVERTER,7,153000,OPTI,INVERTER
SUNFLO-B1000CEF,DAYLIFF SUNFLO-B 1000C8 SOLAR PUMP,28,151000,DAYLIFF,SOLAR PUMP
SV2/055T,DAYLIFF SV2 5.5KW 3PH SUNVERTER,0,151000,DAYLIFF,SUNVERTER
LUNA-POWER,HUAWEI LUNA POWER MODULE CONTROLLER,9,150000,HUAWEI,ACCESSORY
